Begriff;Definition;Erläuterung;Verwendungshinweis;Von;Bis
Baptisterium;Ein Baptisterium ist ein Gebäude, das in der Regel als Zentralbau neben der eigentlichen Kirche steht und ausschließlich der Taufe dient.;;;;
Baracke;Eine Baracke ist ein Bauwerk, das aus vorgefertigten Teilen schnell und einfach aufgebaut werden kann und nicht als dauerhaftes Gebäude vorgesehen ist.;;;;
Barbakane;Eine Barbakane ist der Bestandteil einer Befestigungsanlage, die in Form eines hofartigen, von Wehrgängen umzogenen, vor einem Tor oder Turm befindlichen Wehrbaus, der zur Verstärkung einer schwachen Stelle dient, auftritt und einem eingedrungenen Angreifer durch seine Vorlagerung keinen Schutz bietet.;;;;
Basilika (Halle);Eine Basilika ist eine größere Halle, in der in römischer Zeit in größeren Orten Handelsgeschäfte, Versammlungen oder Gerichtsverhandlungen abgehalten wurden.;Eine Basilika ist ein lang gestreckter hoher Raum, der meist mehrere Seitenschiffe und an der hinteren Seite einen Abschluss in Form einer Apsis oder einer erhöhten Exedra besitzt.;"Benutzt für das hallenartige Gebäude ohne kirchliche Nutzung; für das Kirchengebäude siehe Basilika (Kirche).";;
Basilika (Kirche);Eine Basilika ist ein Kirchengebäude, das im Obergaden oberhalb der Arkaden zu den Seitenschiffen durch Fenster unmittelbar belichtet wird, dessen Langhaus aus mehreren Schiffen besteht und dessen Mittelschiff höher ist als die Seitenschiffe.;;"Benutzt für das Kirchengebäude; für andere hallenartige Gebäude ohne kirchliche Nutzung siehe Basilika (Halle).";;
Bastion;Eine Bastion ist der Bestandteil einer Festung, der vor dem Hauptwall (Kurtine) eines größeren Wehrbaus vorspringt und mit Geschützen bestückt ist.;Die Bastion tritt an die Stelle der Mauertürme und hatte anfangs einen runden, später einen spitzwinkligen Grundriss. ;;;
Batterie (Festung);Eine Batterie ist der Bestandteil einer Festung, der der wirksamen und sicheren Aufstellung von Geschützen dient.;;;;
Baugrube;Eine Baugrube ist eine Grube, die im Zusammenhang mit Baumaßnahmen für die Gründung von Bauwerken, für die Freilegung von Fundamentierungen oder für die Verlegung von Versorgungsleitungen ausgehoben wird.;;;;
Bauhütte (Bauwerk);Eine Bauhütte ist eine Werkstatt, in der die am Bau beteiligten Handwerker, wie Steinmetze, Maler usw., arbeiten.;;;;
Baumsarg;Ein Baumsarg ist ein Sarg, der aus einem der Länge nach aufgetrennten und anschließend ausgehöhlten Baumstamm gefertigt ist.;;;;
Baumstandspur;Eine Baumstandspur ist Befund, der den ehemaligen Standort einer Baumwurzel anzeigt.;;;;
Baumwurfgrube;;;;;
