Begriff;Definition;Erläuterung;Verwendungshinweis;Von;Bis
Flughafen;Ein Flughafen ist ein Baukomplex, der aus Start- und Landebahn sowie den Nebeneinrichtungen zur Personen- und Güterabfertigung, Überwachung des Flugverkehrs und Wartung der Flugzeuge besteht. ;Er dient zur Abwicklung des regelmäßigen kommerziellen Linien- und Charterverkehrs mit Verkehrsflugzeugen. ;"Benutzt für die großflächige Anlage mit umfangreichem Frachtverkehr, Linienverkehr und Charterverkehr mit Verkehrsflugzeugen; für die flächenmäßig kleinere Anlage für den Flugverkehr mit in der Regel privaten oder Sportflugzeugen siehe Flugplatz; für einen für die Landung eines Flugzeugs, oder  eines Hubschraubers geeigneten Platz siehe Landeplatz; für Militärflughafen siehe Fliegerhorst.";;
Flugzeug;Ein Flugzeug ist ein Luftfahrzeug mit festen Tragflächen, das schwerer ist als die verdrängte Luftmasse und durch dynamischen Auftrieb fliegt.;;;;
Flurform;Flurform ist eine landwirtschaftliche Nutzfläche, deren Parzellen eine bestimmte Form bilden. Diese ändert sich abhängig von der Bewirtschaftung, der Rechtslage oder den Herrschaftsverhältnissen.;;;;
Flusskies;;;;;
Forum (Offener Raum);Ein Forum ist ein Platz, der in römischer Zeit als zentraler Gerichtsort, Marktort und Versammlungsort fungierte.;;;;
Fossillagerstätte;;;;;
Freilandstation;Eine Freilandstation ist eine zeitweilige Siedlung, die durch Jäger und Sammler im offenen Gelände gebildet wird.;;;;
Friedhof;Ein Friedhof ist ein Bestattungsplatz, der eingefriedet ist und bei dem der Zugang zu den Gräbern durch Wege oder Straßen gewährleistet ist.;Die Gräber sind oftmals in Reihen oder Feldereinteilungen angelegt.;"Friedhof benutzt für Begräbnisplätze seit dem Mittelalter; für Begräbnisplätze vor dem Mittelalter siehe Gräberfeld; für Begräbnisplätze an Kirchen siehe Kirchhof.";;
Frigidarium;Ein Frigidarium ist der Bestandteil von Thermen, in dem kalte Bäder genommen werden.;;;;
Fritteofen;Ein Fritteofen ist ein Ofen, in dem Glasfritte hergestellt wird, wobei die Beimengungen für die Glasherstellung gepulvert, vermischt und bis zur Schmelze erhitzt werden.;;;;
Fund (Objekt);;;Benutzt für Funde, die als Quelle im Rahmen einer wissenschaftlichen Untersuchung genutzt werden können.;;
Fundament;Ein Fundament ist ein Bauteil, der als der unterste Teil eines Bauwerks dessen Gewicht unmittelbar auf den Baugrund als Pressung überträgt.;;;;
Fundamentgraben;Ein Fundamentgraben ist ein Graben, der Bestandteil eines Fundamentunterbaus ist und mit flacher Sohle in den Boden eingegraben wird, und in dem das Fundament errichtet wird.;;;;
Fundkonzentration;Fundkonzentration ist ein Allgemeinbegriff in der Archäologie, der eine Ansammlung von Funden, die auf einer abgrenzbaren Fläche zusammenliegen und chronologisch einer bestimmbaren Epoche angehören, umfasst.;;;;
Fundplatzindikator;;;;;
Furt;Eine Furt ist ein Weg, der an einer seichten Stelle das Überqueren eines Flusses oder Baches durch das Fließgewässer ermöglicht.;;;;
Fußboden;Ein Fußboden ist ein Bauteil, der einen Raum als begehbare Fläche nach unten hin begrenzt.;;;;
Fußbodenheizung;;;;;
Fußbodenmosaik;;;;;
Galgenhügel;Ein Galgenhügel ist eine Richtstätte, die außerhalb eines bewohnten Ortes auf einem Hügel liegt und an der ein Galgen errichtet worden ist.;;;;
Gang (Architektur);Ein Gang ist ein Erschließungsraum, der zumindest von drei Seiten begrenzt wird, zuweilen auch überdeckt oder unterirdisch verlaufen kann.;;;;
Garage;Eine Garage ist ein Gebäudeteil, in dem Kraftfahrzeuge abgestellt werden.;;;;
Garten;Ein Garten ist ein offener Raum, der abgegrenzt, häufig auch eingefriedet ist und in dem Nutzpflanzen oder Zierpflanzen, oft beide, angebaut werden.;Mehr oder weniger künstlerisch oder aufwendig gestaltet ist der Garten immer vom Menschen angelegt und der Pflege bedürftig. Die Begriffe Garten und Park werden auch synonym gebraucht.;"Benutzt für kleinere und eindeutig abgegrenzte Anlagen, auch für Teile von Anlagen; für größere Anlagen siehe auch Park.";;
Gästehaus;Ein Gästehaus ist ein Beherbergungsbetrieb, der meist zur vorübergehenden Unterbringung von Gästen einer größeren Einrichtung, zum Beispiel einer Hochschule, eines größeren Betriebes oder einer Gebietskörperschaft, genutzt wird.;;"Benutzt für den Beherbungsbetrieb, der institutionell geführt und häufig auch zu repräsentativen Zwecken genutzt wird; für die zumeist privat geführte und im Vergleich zu einem Hotel in seiner Ausstattung bescheidenere Gästeunterkunft siehe Pension.";;
Gasthof;Ein Gasthof ist ein Beherbergungsbetrieb, der neben einer Gaststätte zur Verpflegung der Gäste auch Zimmer zur Unterkunft von Übernachtungsgästen anbietet.;;"Benutzt für den Beherbergungsbetrieb, der neben einer Speisegaststätte auch Übernachtungsunterkünfte anbietet; für den Bewirtungsbetrieb allgemein siehe Gaststätte, für den Bewirtungsbetrieb der vorrangig Speisen anbietet siehe Restaurant.";;
Gaststätte;Eine Gaststätte ist ein Bewirtungsbetrieb, in dem man gegen Bezahlung Getränke und Speisen erhalten kann.;Eine Gaststätte kann ein Gebäude oder Teil eines Gebäudes sein.;"Benutzt für den Bewirtungsbetrieb ohne Übernachtungsmöglichkeit. Für den Bewirtungsbetrieb, der auch Übernachtungsunterkünfte anbietet, siehe Gasthof. 
Für den Bewirtungsbetrieb, der vorrangig Speisen anbietet, siehe Restaurant.";;
Gebäude;Ein Gebäude ist ein Bauwerk, das sich über der Erde erhebt, ein Dach besitzt, einen oder mehrere Räume umschließt, von Menschen betreten werden kann, dem Schutz von Menschen, Tieren oder Sachen dient.;;;;
Gefängnisgebäude;;;"Benutzt für das einzelne Gebäude; für die Einrichtung des heutigen Strafvollzugs siehe Justizvollzugsanstalt; für historische Einrichtungen bis 1970 siehe Gefängniskomplex.";;
Gerberei;Eine Gerberei ist ein Betrieb, der handwerklich oder industriell Tierhäute zu Leder verarbeitet oder Felle zu Pelzen zurichtet.;;Benutzt für den Handwerksbetrieb und den Industriebetrieb.;;
Gerbergrube;Eine Gerbergrube ist eine Grube, die mit einer Gerbflüssigkeit gefüllt ist und in der der Gerbprozess der Tierhäute stattfindet.;;;;
Geschützstand;Ein Geschützstand ist eine militärische Anlage, die Bestandteil einer Geschützstellung ist und auf der ein Geschütz beim Schießen steht, im Weiteren aber auch eine ganze Batterie.;;;;
Getreidedarre;Eine Getreidedarre ist eine Darre, die dem Trocknen von Getreide dient.;;;;
Gewölbe (Bauteil);Ein Gewölbe ist ein Bauteil, der als gebogene Fläche einen Raum nach oben abschließt.;;;;
Glacis;Ein Glacis ist der Bestandteil einer Festung, der als feindwärts flach geneigte Aufschüttung vor dem äußeren Grabenrand einer Festung ein freies Schussfeld ermöglicht. ;;;;
Glashütte;Eine Glashütte ist ein Betrieb, in dem Glas gewonnen und teilweise weiterverarbeitet wird.;;"Benutzt für einen Betrieb, der vorrangig Glas erzeugt; für einen Betrieb, der Glas weiterverarbeitet siehe Glasfabrik.";;
Glasofen;Ein Glasofen ist ein Ofen, in dem Glas hergestellt oder bearbeitet wird.;;;;
Glaswerkstatt;;;;;
Glockengussgrube;Eine Glockengrube ist eine Gießgrube, in der zunächst die Gussform einer Glocke hergestellt wird, um diese anschließend vor Ort zu gießen.;;;;
Grab;Ein Grab ist ein Bauwerk, das der Aufnahme verstorbener Lebewesen dient.;Das Grab kann sowohl unter der Erde als auch über der Erde errichtet werden. In verschiedenen Kulturen werden den Toten auch Gegenstände beigegeben.;;;
Grabbau (Bauwerk);Ein Grabbau ist ein Bauwerk, das dem Schutz der eigentlichen Bestattung oder Bestattungen dient.;;;;
Grabeinfriedung;Eine Grabeinfriedung ist eine Einfriedung, die die Begrenzung einzelner Grabstätten markiert.;;;;
Graben (Erdbauwerk);Ein Graben ist ein Erdbauwerk, das als längere, schmale Vertiefung im Boden ausgeführt ist.;;;;
Grabenanlage;Der Begriff Grabenanlage bezeichnet Gräben, die in einem bestimmten Verhältnis zueinander angelegt sind. ;Eine Grabenanlage kann eine Befestigungsanlage oder eine Bewässerungsanlage sein.;Benutzt für Grabenanlage zusammen mit Befestigungsanlage oder Bewässerungsanlage.;;
Gräberfeld;Ein Gräberfeld ist ein Bestattungsplatz, auf dem sich mehrere Bestattungen befinden, unabhängig von der Grabform oder der Bestattungsart.;;"Gräberfeld benutzt für Begräbnisplätze vor dem Mittelalter; für Begräbnisplätze seit dem Mittelalter siehe Friedhof; für Begräbnisplätze an Kirchen siehe Kirchhof.";;
Grabgarten;Ein Grabgarten ist eine Grabeinfriedung, die aus einem quadratischen oder rechteckigen, vereinzelt leicht trapezförmigen Graben besteht, der als obertägig sichtbare Begrenzung eine oder mehrere Grabstellen umfasste.;Es können mehrere Grabgärten aneinanderstoßen sowie miteinander verbunden sein. In einer der Seiten kann eine Erdbrücke den Graben unterbrechen. Grabgärten wurden vor allem in der Eisenzeit und der Römischen Kaiserzeit angelegt. Der Begriff wird darüber hinaus auch für Grabeinfriedungen anderer Zeitstellungen benutzt.;;;
Grabgrube;Eine Grabgrube ist eine Grube, die Bestandteil eines Grabes ist und in der die sterblichen Überreste von Mensch oder Tier niedergelegt werden.;;;;
Grabhügel;Ein Grabhügel ist eine Aufschüttung, die aus Erde besteht und sich über einer oder mehreren Grablegen befindet.;;"Benutzt für ein Grab mit hügelartiger Aufschüttung, das nach der Merowingerzeit angelegt wurde; für Hügel über Gräbern aus urgeschichtlichen Perioden bis zur Merowingerzeit siehe Hügelgrab.";;
Grabkammer;Eine Grabkammer ist ein Grabraum, in dem ein  oder auch mehrere Verstorbene beigesetzt wurden.;;;;
Grabungsfläche;Eine Grabungsfläche ist ein offener Raum, an dem eine archäologische Ausgrabung stattfindet oder bereits stattgefunden hat.;;;;
Gräfte;Eine Gräfte ist ein Wassergraben, der einen Adelssitz, einen Hof oder eine Garten- und Parkanlage umgeben kann.;;;;
Grenzpunkt;Ein Grenzpunkt ist ein Vermessungspunkt, der im Verlauf einer Flurstücksgrenze oder Grundstücksgrenze liegt und einen Eck- oder Wendepunkt bildet.;;;;
Grenzstein;Ein Grenzstein ist ein Bauwerk, das im Gelände der Kennzeichnung eines eingemessenen Grenzpunktes dient.;;;;
Grube (Erdbauwerk);Eine Grube ist ein künstlich angelegtes Bauwerk, das als Vertiefung in der Erde sichtbar ist.;;;;
Grubenhaus;Ein Grubenhaus ist ein Gebäude, dessen Fußboden in die Erde eingetieft ist und das meistens nur über einen einzigen Raum verfügt.;In germanischer und frühmittelalterlicher Zeit wurde es als Wohnbau und Wirtschaftsbau benutzt und war selten größer als 4 x 4 m.;;;
Grubenkomplex;Ein Grubenkomplex ist ein Erdbauwerk, das aus dicht beieinander liegenden Gruben besteht. Diese können sich überschneiden, da sie nacheinander angelegt werden.;;;;
Gruft;Eine Gruft ist ein Grabraum, der meist in den Boden eingetieft und gemauert ist und worin sich eine oder auch mehrere Bestattungen befinden können. Sie kann Bestandteil eines Grabmals sein.;;;;
Grundriss;Ein Grundriss ist ein Bild eines räumlichen Gebildes in einer zweidimensionalen waagerecht ausgeführten Aufsicht. Meistens bildet der Grundriss die Grundmauern oder das Erdgeschoss eines Gebäudes ab.;;;;
Hafen;Ein Hafen ist ein Baukomplex, der  aus einem künstlich angelegten Wasserbecken und der dazugehörigen Infrastruktur an Land besteht.;Er dient der Passagierabfertigung und dem Güterumschlag im Schiffsverkehr. Je nach Hauptfunktion unterscheidet man unterschiedliche Hafenarten.;;;
Hafenofen;Ein Hafenofen ist ein Schmelzofen, der in Glashütten zum Schmelzen von Glas verwendet wird.;;;;
Halbbastion;Eine Halbbastion ist der Bestandteil einer Festung, der die Form einer halbierten Bastion hat und lediglich aus einer Face und einer Flanke besteht, während die der Flanke gegenüberliegende Seite in die seitliche Kurtine des jeweiligen Festungswerks übergeht.;;;;
Halde (Wirtschaft);Eine Halde ist ein offener Raum in Form einer Aufschüttung, die aus Material besteht.;;;;
Hallenhaus;Ein Hallenhaus ist ein Gebäude, das als bäuerliches Einhaus Wohnen und Wirtschaften unter einem Dach vereint und vor allem in Nordwesteuropa verbreitet ist. Die Erscheinung des Hauses ist bestimmt durch eine hallenartige Raumaufteilung.;;;;
Hammerwerk;Ein Hammerwerk ist ein Betrieb, in dem Roheisen, Kupfer und Messing mechanisch bearbeitet werden.;;;;
Hauptburg;Eine Hauptburg ist der Bestandteil einer Burg, der sich zumeist an zentraler Stelle der Anlage befindet, am stärksten gesichert ist und im Angriffsfalle zuletzt erreicht wird.;;;;
Hauptgebäude;Ein Hauptgebäude ist ein Gebäude, das zu einem Baukomplex gehört und für gewöhnlich das größte und wichtigste Gebäude ist.;;;;
Heiligtum (Raum);;;;;
Herberge;Eine Herberge ist ein Beherbergungsbetrieb, in dem Reisende kostenpflichtig bewirtschaftet werden.;;;;
Herdstelle;Eine Herdstelle ist ein offener Raum, der mit Steinen oder anderen Materialien befestigt ist und sich klar von der Umgebung abgrenzt.;;;;
Hochofen;Ein Hochofen ist ein Schachtofen, der zur Gewinnung von Roheisen aus Eisenerzen unter Zusatz von weiteren Stoffen, mit denen er kontinuierlich beschickt wird, dient.;;;;
Hockergrab;Ein Hockergrab ist ein Körpergrab, in dem der Tote in gehockter Stellung, d.h. mit mehr oder minder angezogenen Beinen und Armen auf der Seite liegend oder auch sitzend bestattet ist.;;;;
Höckerlinie;Eine Höckerlinie ist eine Panzersperre, die aus einer langgestreckten Aufreihung von höcker- oder zahnförmigen Sperrelementen aus Stahlbeton oder Beton besteht.;;;;
Hof (Landwirtschaft);Ein Hof ist ein Baukomplex, der alle zu einem Landwirtschaftsbetrieb gehörigen Bauwerke und die in unmittelbarem Zusammenhang mit den Bauwerken stehenden Flächen umfasst.;;"Benutzt ausschließlich für den Baukomplex; für Baukomplex mit Nutzfläche siehe Landwirtschaftsbetrieb.";;
Höhenburg;Eine Höhenburg ist eine Burg, die auf einer natürlichen Anhöhe errichtet wurde und aus dem umgebenden Gelände herausragt.;;;;
Höhensiedlung;Eine Höhensiedlung ist eine Siedlung, die auf höher liegendem Gelände errichtet ist.;;;;
Höhle;Eine Höhle ist eine Geländeform, die als unterirdischer Hohlraum auftritt und durch Naturvorgänge entstanden ist.;;;;
Höhlenheiligtum;Ein Höhlenheiligtum ist ein Naturheiligtum, in dessen Umgebung kultische Handlungen, verbunden mit Höhlen, vollzogen werden.;;;;
Hohlweg;Ein Hohlweg ist ein Fahrweg, der sich durch jahrhundertelange Nutzung als Viehtrieb und Gehweg sowie durch Befahren mit Fuhrwerken in das umgebende Gelände eingeschnitten hat.;;;;
Holzwerkstatt;;;;;
Horreum;Ein Horreum ist ein Lagergebäude, das in römischer Zeit vorwiegend der Aufbewahrung von Getreide und anderen schweren Materialien diente.;;;;
Hügelgrab;Ein Hügelgrab ist ein Grab, das aus einem aufgeschütteten Hügel aus Erde oder Steinen besteht, unter dem oder in dem sich ein Grab oder mehrere Gräber befinden.;;"Benutzt für ein Grab mit hügelartiger Aufschüttung, die in urgeschichtliche Perioden bis zur Merowingerzeit datiert werden; für Hügel über Gräbern späterer Perioden siehe Grabhügel.";;
Hypokaustum;Ein Hypokaustum ist eine Fußbodenheizung, die für einzelne Räume in römischen Thermen, vornehmen Wohnhäusern, Villen und Palästen verwendet wurde.;;;;
Immunitätsbezirk;Ein Immunitätsbezirk ist ein offener Raum, der durch ein besonderes Schutzprivileg von der übrigen Stadt abgegrenzt ist.;Häufig vorkommende Bezirke sind Domimmunitätsbezirke, Klosterimmunitätsbezirke oder Stiftsimmunitätsbezirke.;"Benutzt für das durch eine Immunität gekennzeichnete Gelände; für den entsprechenden Rechtsbegriff siehe Immunität.";;
Industrieanlage;Eine Industrieanlage ist ein Baukomplex, der sämtliche Gebäude und Einrichtungen einschließlich des Geländes eines Industriebetriebes umfasst.;;;;
Innenhof;Ein Innenhof ist ein Hof, der innerhalb eines Gebäudes liegt oder von einem Gebäudekomplex vollkommen umschlossen wird;;;;
Insula (Siedlung);Eine Insula ist ein Siedlungsteil in römischer Zeit, der sich aus einem von Straßen eingeschlossenen Häuserblock zusammensetzt.;;;;
Irdenwareofen;Ein Irdenwareofen ist ein Töpferofen, in dem Irdenware bei Temperaturen zwischen 650 °C und 800 °C gebrannt werden.;;;;
Jüdischer Friedhof;Ein jüdischer Friedhof ist ein Friedhof einer jüdischen Gemeinde, auf dem die Bestattung ausschließlich gemäß den Gesetzlichkeiten des Judentums erfolgt.;;;;
Kaldarium;Ein Kaldarium (Caldarium) ist der Bestandteil der Thermen in römischer Zeit, der als Heißbaderaum und Schwitzabteilung genutzt wird.;;;;
Kalkbrennerei;Eine Kalkbrennerei ist ein Betrieb, in dem in einem oder mehreren Kalköfen Kalk gebrannt wird.;;"Benutzt für eine vorindustriell betriebene Anlage; für eine industriell betriebene Anlage siehe Kalkwerk.";;
Kalklöschgrube;Eine Kalklöschgrube ist eine Grube, in der Kalk gelöscht wird, d.h., in der Calciumoxid mit Wasser versetzt wird.;;;;
Kalkofen;Ein Kalkofen ist ein Brennofen, in dem Kalkstein zu Kalk gebrannt wird. Hierfür werden verschiedene Ofentypen genutzt.;;;;
Kalvarienberg;Ein Kalvarienberg ist ein visuelles Werk, das plastisch oder bildlich die biblische Kreuzigungsgruppe darstellt.;"Die Bezeichnung ""Berg"" geht darauf zurück, dass Kalvarienberge meist als letzte Station eines Kreuzweges auf einer Anhöhe liegen.";;;
Kammergrab;;;;;
Kanal (Wasserbau);Ein Kanal ist ein Bauwerk, das in Form offener, künstlicher Wasserläufe oder unterirdisch geführter Rohrleitungen für Abwässer, Bewässerung oder Entwässerung genutzt wird.;;"Benutzt für künstlichen Wasserlauf für Abwässer, Bewässerung oder Entwässerung; für schiffbaren Kanal siehe Schifffahrtskanal.";;
Kanalisation;Eine Kanalisation ist eine Abwasseranlage, die aus unterirdischen Bauwerken besteht, die der Sammlung und dem Transport von Abwässern, Regenwasser u.ä. dienen.;;;;
Kapelle (Bauwerk);Eine Kapelle ist ein Sakralbau, der in der Regel klein und einfach ist und keine Pfarrrechte besitzt.;Eine Kapelle kann sowohl ein selbständiges Gebäude als auch Teil eines größeren Gebäudes sein.;;;
Kapitelsaal;;;;;
Karner;Ein Karner ist ein Friedhofsgebäude, das der Aufbewahrung von Gebeinen dient und in dem Totenmessen abgehalten werden. Ein Karner ist meist zweigeschossig.;;;;
Kasematte;Eine Kasematte ist der Bestandteil einer Festung, der einen  gegen Beschuss gesicherten, überwölbten Raum darstellt, der meist durch Erdaufschüttung entsteht.;;;;
Kaserne;Eine Kaserne ist ein Militärgebäude, das Bestandteil einer militärischen Anlage ist und der ständigen Unterbringung von Truppen dient.;;;;
Kavalier (Festung);Ein Kavalier ist der Bestandteil einer Festung, der als erhöhte Plattform auf dem Wall oder den Kasematten zur Beobachtung und zum Aufstellen von Kanonen als Erdausschüttung mit Brustwehr dient.;;;;
Kein Befund;;;;;
Kenotaph;Ein Kenotaph ist ein Grabmal, das für eine Person errichtet wird, die an einem anderen Ort verstorben und begraben ist.;;;;
Kirchengebäude;Ein Kirchengebäude ist ein Sakralbau, in dem der Gottesdienst bzw. die Kultausübung verschiedener christlicher Religionsgemeinschaften abgehalten werden.;;;;
Kirchhof;Ein Kirchhof ist ein Friedhof, der das Kirchengebäude unmittelbar umgibt oder dessen Vorhof bildet.;;"Kirchhof benutzt für Friedhöfe an Kirchen; für Bestattungsplätze seit dem Mittelalter siehe Friedhof; für Bestattungsplätze vor dem Mittelalter siehe Gräberfeld.";;
Klausur (Kloster);Eine Klausur ist der Bestandteil eines Klosters, der ausschließlich den Klosterinsassen vorbehalten ist und von Außenstehenden nur ausnahmsweise betreten werden darf.;;;;
Kleinkastell;Ein Kleinkastell ist ein römisches Militärlager, das für kleine Einheiten wie Wachkommandos genutzt wurde.;Es bot Platz für etwa 40 bis 80 Mann Besatzung (Centurie bzw. Halbcenturie).;;;
Kloake (Bauwerk);;;;;
Kloakenrinne;Eine Kloakenrinne ist ein Bauwerk, das dem Abfluss von Fäkalien aus einer Kloake dient und die Form einer Furche oder einer Röhre besitzt.;;;;
Kloster (Architektur);Ein Kloster ist ein Baukomplex, in dem Menschen in Ausübung ihrer Religion zusammenleben.;Das Kloster besteht in der Regel aus Bauten für die Religionsausübung, Wohngebäuden, Wirtschaftsgebäuden, eventuell weiteren Bauwerken und Freiflächen sowie Nutzflächen wie der Innenhof des Kreuzgangs oder Gärten.;;;
Knochenmühle;Eine Knochenmühle ist eine Mühle, in der Tierknochen zermahlen oder gestampft werden.;;;;
Knochensiederei;Eine Knochensiederei ist ein Betrieb, in dem Schlachtknochen aufbereitet werden. Sie werden ausgekocht von Fleisch und Fettresten befreit und dann zur weiteren Verwertung an Knochenmühlen, Seifensiedereien, Leimsiedereien usw. weitergeleitet. Weiterhin besteht die Möglichkeit, das Fett des aufbereiteten Suds an Lichtgießer zu verkaufen.;;;;
Knochenwerkstatt;;;;;
Knüppeldamm;;;;;
Kochgrube;Eine Kochgrube ist eine Grube, in deren Verfüllung sich Funde befinden, die auf die den Vorgang des Kochens hinweisen, wie z.B. Steine, die eindeutig Erhitzungsspuren aufweisen, aber auch Knochen und Holzkohle.;;;;
Kohlenmeiler;;;;;
Kohortenkastell;Ein Kohortenkastell ist ein Auxiliarlager, in dem eine Kohorte stationiert ist.;;;;
Kolluvium;Ein Kolluvium ist ein Landboden, bei dem das Substrat der Bodenbildung durch Wasser oder Wind über kurze Strecken transportiert und dann abgelagert worden ist.;;;;
Konzentrationslager;Ein Konzentrationslager ist ein Gefangenenlager, welches in der Zeit des Nationalsozialismus für die Internierung und zumeist auch Ermordung von Opfern der nationalsozialistischen Unrechtsherrschaft errichtet wurde.;Die Opfer der Konzentrationslager wurden aufgrund ihrer Rasse, ihres Glaubens, ihrer Weltanschauung, sexuellen Orientierung, körperlichen oder geistigen Behinderungen oder ihrer politischen Gegnerschaft zum Nationalsozialismus verfolgt und inhaftiert. In den Lagern starben die meisten dieser Menschen an den Folgen physischer Misshandlungen, systematischer Aushungerung, Zwangsarbeit, medizinischer Menschenversuche oder wurden - vor allem im Rahmen der deutschen Judenvernichtung (Shoah bzw. Holocaust) - durch Massentötungen in Gaskammern, Erschießungen oder Todesmärsche ermordet.;"Benutzt für das unter der NS-Herrschaft von 1933-1945 eingerichtete und betriebene Lager; für andere Lager siehe Lager (Unterkunft) oder Gefangenenlager.";1933;1945
Körpergrab;Ein Körpergrab ist ein Grab, in dem der vollständige unverbrannte Körper des Toten beigesetzt ist.;;;;
Krankenhaus;Ein Krankenhaus ist ein Baukomplex, in dem Kranke für längere Zeit stationär behandelt werden.;;;;
Kreisgraben;Ein Kreisgraben ist ein Graben, der eine Fläche ringförmig umschließt. Er kann Bestandteil unterschiedlicher Anlagen sein. Häufig stehen derartige Gräben mit Hügelgräbern in Beziehung, können aber auch Bestandteil von Befestigungsanlagen sein.;;;;
Kreuzgang;Ein Kreuzgang ist ein Gebäudeteil eines Sakralbaus, der als Gang den von der Kirche und den Klausurgebäuden gebildeten Hof umgibt.;Der Kreuzgang erschließt die umliegenden Gebäudeteile der Kloster- oder Stiftsanlagen und dient darüber hinaus auch als Aufenthalts- und Unterrichtsort.;;;
Kreuzwegstation;Eine Kreuzwegstation ist ein visuelles Werk, das eine der Stationen des Kreuzweges Jesu umfasst.;;;;
Kriegsgefangenenlager;Ein Kriegsgefangenenlager ist ein Gefangenenlager, in dem während oder unmittelbar nach einem Krieg feindliche Soldaten und Kriegsgefangene festgehalten werden.;;;;
Küche (Raum);Eine Küche ist ein Raum, der vorwiegend für die Zubereitung von Speisen genutzt wird.;;;;
Kühlofen;;;;;
Kultopfer;;;;;
Künette;Eine Künette ist der Bestandteil einer Festung, der als auf der Sohle eines großen, trockenen Grabens gelegener Abflussgraben zu dessen Entwässerung dient und zugleich ein eigenes Annäherungshindernis darstellt.;;;;
Kurtine;Eine Kurtine ist der Bestandteil einer Festung, der einen Mauerabschnitt zwischen Türmen oder Bastionen bildet.;;;;
Landschaft;Eine Landschaft ist ein Teil der Erdoberfläche, der durch ein charakteristisches gleichmäßiges Erscheinungsbild und ein homogenes Wirkungsgefüge geprägt ist. Gestaltet ist eine Landschaft durch anorganische, organische und anthropogene Faktoren.;;;;
Landwehr (Bauwerk);Eine Landwehr ist eine Grenzbefestigung, die aus einem oder mehreren, mit undurchdringlichem Buschwerk besetzten Wällen und breiten Gräben besteht und die größere und kleinere Landgebiete umschloss.;;;;
Langhaus (Bauwerk);Ein Langhaus ist ein Bauwerk, für den ein Grundriss charakteristisch ist, bei dem die Längsachse das Ausmaß der Querachse erheblich übersteigt.;Aufgrund der Innenausstattung, z.B. mit mehreren Herdstellen, wird davon ausgegangen, dass derartige Gebäude von größeren Personengruppen bewohnt werden.;;;
Langhügel (Grab);Ein Langhügel ist ein Hügelgrab, das langgestreckt rechteckig bis trapezförmig sein kann.;;;;
Latrine;Eine Latrine ist ein Bauwerk in Form einer Grube, das als behelfsmäßiger Abort von mehreren Personen gleichzeitig benutzt werden kann.;;Benutzt für die Sanitäranlage des Altertums und des Mittelalters.;;
Laufhorizont;Ein Laufhorizont ist eine Schicht, die aus festgestampfter Erde oder einer Pflasterung bestehen kann und deren Oberseite von Menschen oder Tieren begangen wurde.;;;;
Layerinterface;;;;;
Legionslager;;;;;
Legionsziegelei;;;;;
Leichenbrandlager;Ein Leichenbrandlager ist ein Brandgrab, in dessen Grabgrube Leichenbrand auf einer Stelle konzentriert liegt.;Zeitweise ist es möglich, das ursprüngliche Vorhandensein von organischen Behältern, in die der Leichenbrand eingefüllt war, nachzuweisen.;;;
Leichenschatten;Ein Leichenschatten ist eine Verfärbung, die durch das Vergehen eines menschlichen oder tierischen Körpers im Boden entsteht und die dessen Umriss nachzeichnet.;;;;
Leprosorium;Ein Leprosorium ist ein Siechenhaus und ein Baukomplex, der vom Mittelalter bis in die Mitte des 20. Jahrhunderts in Europa der Aufnahme, Verpflegung und Quarantäne unheilbar Kranker, insbesondere Leprakranker (Lepröse, Leprose), diente.;;"Benutzt für die vom Mittelalter bis in die Mitte des 20. Jahrhunderts in Europa als Pflegeheim genutzte Einrichtung; für die heutige medizinische Einrichtung siehe Krankenhaus.";;
Lichtschacht (Architektur);;;;;
Liegender Ofen;;;;;
Limes (Grenzbefestigung);Limes ist die Grenzbefestigung, die in der Römischen Kaiserzeit die militärischen Grenzsicherungssysteme in Europa, Vorderasien und Nordafrika umfasste.;;;;
Lochstein (Vermessungswesen);Ein Lochstein ist ein Grenzstein, der bis ins 19. Jahrhundert die Eigentumsgrenze an einem Bergwerk markiert. Er zeigt an der Oberfläche an, wie weit der unterirdische Abbau gehen darf.;;;;
Lochtenne;;;;;
Löschteich;Ein Löschteich ist ein Teich, in dem Löschwasser für den Fall eines Brandes vorgehalten wird.;;;;
Luftschutzkeller;Ein Luftschutzkeller ist ein Keller, der zeitweilig als Schutzraum genutzt wird.;;;;
Lünette (Festung);;;Benutzt für Werke, die weder wie die Demi-lune einer Bastion noch wie das Ravelin einer Kurtine zugeordnet sind.;;
Mansio;Eine Mansio ist eine Herberge, die in römischer Zeit an überregionalen Straßen dem Aufenthalt, dem Übernachten und als Umspannstation diente.;;;;
Markierung (Archäologie);;;;;
Marktplatz;Ein Marktplatz ist ein Platz, der innerhalb einer Siedlung liegt und an dem Waren verkauft oder getauscht werden.;;;;
Marschlager;Ein Marschlager ist ein Militärlager, das nur für einen kurzen Gebrauch während eines Marsches von Militäreinheiten errichtet wird.;Daher weist es zumindest eine äußere Befestigung, aber nur selten eine Innenbebauung aus festen Gebäuden wie Hütten, auf.;;;
Massengrab;Ein Massengrab ist ein Grab, in dem eine große Anzahl Menschen beigesetzt wird, die u.a. Naturkatastrophen oder Kriegsverbrechen zum Opfer gefallen sind.;;;;
