Begriff;Definition;Erläuterung;Verwendungshinweis;Von;Bis
Gabel (Besteck);Eine Gabel ist der Bestandteil eines Bestecks, der mit zwei oder mehr Zinken ausgestattet ist und zum Aufnehmen oder Zerlegen von Essen dient.;;;;
Gabel (landwirtschaftliches Gerät);Eine Gabel ist ein landwirtschaftliches Gerät mit zwei oder mehr Zinken, die an einem langen Stiel montiert sind, und das je nach Ausprägung zum Schaufeln, Aufheben und Kurzzeittransport verschiedener loser Güter, oder zum Graben verwendet wird.;;;;
Garderobe (Möbel);;;;;
Gedenkmünze;;;;;
Gefäß (Behälter);Ein Gefäß ist ein tragbarer, starrer und wasserundurchlässiger Behälter.;;;;
Gefäßboden;Ein Gefäßboden ist der Teil eines Gefäßes, auf dem es üblicherweise steht und der sich meist auf der der Öffnung gegenüberliegenden Seite befindet.;"Benutzt für Gefäßböden von Hohlformen aus Metall, organischen Materialien usw.; bei Scherben eines Bodens von Hohlformen aus Ton, Glas oder Porzellan siehe Bodenscherbe.";;;
Gefäßhals;;;;;
Gefäßprofil;Ein Gefäßprofil ist der Bestandteil eines Gefäßes, der die Kontur abbildet.;;;;
Gefäßrand;;;;;
Gefäßwand;;;;;
Geld;Geld ist ein Zahlungsmittel, das von einem Staat in Umlauf gebracht wird und anderen Waren und Dienstleistungen gegenüber als handelbares Tauschmittel dient.;;;;
Gemälde;Ein Gemälde ist ein visuelles Werk, bei dem ein Bild mit gelöster Farbe auf einen Bildträger gemalt wird.;;;;
Gemme (Kunst);;;;;
Geofakt;;;;;
Gerät;;;;;
Geröll;;;;;
Geröllgerät;;;Geröllgeräte wurden in Deutschland bislang noch nicht zweifelsfrei nachgewiesen.;;
Geröllkeule;;;;;
Geschoss (Munition);Ein Geschoss ist Munition, die durch eine Abwurfvorrichtung oder Abschussvorrichtung auf eine hohe Geschwindigkeit gebracht wird. Das Geschoss fliegt nach dem Abschuss ungelenkt und ohne weiteren Antrieb.;;;;
Geschütz;;;;;
Gesims;Ein Gesims ist ein Architekturelement, das als verhältnismäßig schmaler Streifen plastisch hervortritt, meist horizontal verläuft und Wände in einzelne Abschnitte gliedert oder abschließt.;Ein Gesims kann von Wandöffnungen unterbrochen oder um diese herumgeführt werden.;;;
Getestetes Rohstück;;;;;
Gewehr (Handfeuerwaffe);Ein Gewehr ist eine Handfeuerwaffe, die über einen langen Lauf verfügt, an der Schulter in Anschlag gebracht wird und mit zwei Händen zu bedienen ist.;Ein Gewehr besteht aus einem langem Lauf oder mehreren langen Läufen, Schloss, Abzugseinrichtung, lang gezogenem Vorderschaft, unterschiedlich ausgeformtem Kolbenhals und Kolbenwangen. Kurze bzw. gestutzte Gewehre werden Karabiner oder Stutzen genannt. Nach deutschem Waffengesetz ist das Gewehr eine Langwaffe.;;;
Gewehrkugel;Eine Gewehrkugel ist ein rundes Geschoss aus Metall, das aus einem Gewehr abgefeuert wird.;;;;
Gewichtsstück;Ein Gewichtsstück ist der Bestandteil einer Waage, der beim Wiegen als Vergleichsmasse angebracht wird.;;;;
Gewölbe (Bauteil);Ein Gewölbe ist ein Bauteil, der als gebogene Fläche einen Raum nach oben abschließt.;;;;
Gewürzstreuer;;;;;
Giebel;Ein Giebel ist ein Bauteil, der den quer zur Firstrichtung stehenden Abschluss eines Dachgeschosses bildet.;;;;
Glasofen;Ein Glasofen ist ein Ofen, in dem Glas hergestellt oder bearbeitet wird.;;;;
Glättstein;Der Glättstein ist ein Gerät zur Oberflächenbehandlung, meist aus Stein oder Glas. Er besitzt eine flache, glatte Unterseite, mit der organische Materialien wie Leder, Textilien und Tongefäße geglättet werden können.;;;;
Glocke (Idiofon);Eine Glocke ist ein Idiofon, das nach unten offen und hohl ist und durch einen im Inneren befestigten oder von außen anzuschlagenden Klöppel zum Klingen gebracht wird.;;;;
Grabinschrift;Eine Grabinschrift ist eine Inschrift an einem Grabmal, die an einen Toten erinnert.;;;;
Grabplatte;Eine Grabplatte ist ein Grabmal, das die Form einer großen, das Grab abdeckenden Platte hat.;;;;
Grabstein;Ein Grabstein ist ein Grabmal, das in Form eines bearbeiteten und beschrifteten Natursteins am Kopfende eines Grabes aufgestellt ist.;;;;
Grabstichel;;;;;
Graffiti;;;;;
Grafik (visuelles Werk);;;;;
Granate (Waffe);Eine Granate ist ein Sprengkörper, der aus Geschützen oder Werfern abgefeuert wird. Sie wird in der Regel mit einer Treibladung verschossen.;;;;
Grapen;Ein Grapen ist ein bauchiger Kochtopf mit drei Standfüßen. Mit Henkel oder Griff versehen, wurden Grapen über die heiße Glut gestellt oder gehängt und dienten in erster Linie zum Kochen von Speisen. Frühe Exemplare wurden aus Irdenware, spätere Gefäße auch aus Metall hergestellt.;;;;
Gravettespitze;;;;;
Grenzstein;Ein Grenzstein ist ein Bauwerk, das im Gelände der Kennzeichnung eines eingemessenen Grenzpunktes dient.;;;;
Griff (Bestandteil);Ein Griff ist der Bestandteil von Objekten, der es ermöglicht diese anzufassen, zu tragen oder zu bedienen.;;;;
Griffel (Schrift);Ein Griffel ist ein schmales, stabförmiges Gerät, das zum Schreiben, Zeichnen oder Ritzen auf verschiedenen Oberflächen, beispielsweise Wachs, Schiefer, Metall, Stein, verwendet wird. Er besitzt häufig eine angespitzte oder abgerundete Spitze, je nach Verwendungszweck. In der Regel wird er aus Metall, Holz, Knochen, Stein oder Kunststoff hergestellt.;;;;
Griffelkasten;;;;;
Griffknubbe;;;Griffknubbe beschreibt die seitliche Handhabe an einem Gefäßkörper, die Handhabe an einem Deckel siehe Deckelknauf.;;
Grifföse;;;;;
Grifftülle;;;;;
Grundform (Steinartefakt);;;;;
Gürtel (Bekleidungszubehör);Ein Gürtel ist Bekleidungszubehör, das als Band mit einer Schnalle um die Taille oder Hüfte getragen wird, um Kleidungsstücke wie Röcke oder Hosen zu halten oder zu raffen, Gegenstände daran zu befestigen oder zu rein modischen Zwecken.;;;;
Gürtelbeschlag;;;;;
Gürtelbestandteil;;;;;
Gürtelgehänge;Gürtelgehänge sind Bekleidungszubehör, die auf oder unterhalb der Hüfte getragen werden. Es handelt sich um an einem Gürtel angebrachte Teile, wie beispielsweise Beutel, Toilettegeräte, Amulette und Schlüssel, die in einem Gehänge zusammengefasst sein können. Sie werden hauptsächlich von Frauen getragen.;;;;
Gürtelhaken;;;;;
Gürtelring;;;;;
Gürtelschnalle;Eine Gürtelschnalle ist eine Schnalle, die zum Verschließen eines Gürtels dient. Dabei handelt es sich um einen Bügel mit einem oder mehreren Dornen, der an einem Riemen befestigt ist.;;;;
Gürteltasche;Eine Gürteltasche ist eine Tasche, die auf einen Gürtel gefädelt ist. Sie wird in der Regel um die Hüfte oder um die Taille geschnallt, vorwiegend seitlich oder vor dem Bauchbereich oder hinten über dem Gesäßbereich getragen.;;;;
Gussform;;;;;
Gusskuchen;;;;;
Gusstiegel;;;;;
Haarnadel;Eine Haarnadel ist ein Haaraccessoire zum Feststecken und/oder zum Schmücken der Haare. Haarnadeln bestehen aus einem einzelnen dünnen Stab mit oft mehr oder weniger verziertem Kopf. Modernere Versionen können auch aus einem schlichten u-förmig gebogenen Draht oder Kunststoff bestehen, der bisweilen rein funktional und in der Frisur unsichtbar ist.;;;;
Hacke (Landwirtschaft);Eine Hacke ist ein manuelles Bodenbearbeitungsgerät, das der Lockerung der Erde dient. Sie besteht aus einem flachen, spitzen oder gezinkten Blatt, das quer zum Schaft stehend auf einem Stiel montiert ist.;;;;
Haken (Befestigungselement);;;;;
Halbfabrikat;;;;;
Halbkeil (Kerngerät);;;;;
Halskette;Eine Halskette ist ein Schmuckstück, das um den Hals getragen wird.;;;;
Halsring;;;;;
Hammer (Werkzeug);;Unter Nutzung seiner beschleunigten Masse werden mit einem meist stumpfen Kopf Schläge auf Körper ausgeübt.;Benutzt für das vollständige Werkzeug Hammer bestehend aus Kopf und Stiel, ist nur der Kopf erhalten s. Hammerkopf;;
Handhabe (Behälter);;;;;
Handschuh;;;;;
Harpune;Eine Harpune ist ein Fischereigerät, das in Speerform oder Pfeilform mit Widerhaken und Fangleine zur Jagd auf Wassertiere genutzt wird.;"Harpunen zählen zu den ältesten und am weitesten verbreiteten Jagdgeräten und Fanggeräten; in Folge dessen gibt es eine stete technische Fortentwicklung.";;;
Haushaltsgerät;Ein Haushaltsgerät ist ein Gerät, das zur Bewältigung von Arbeiten und Aufgaben im Haushalt verwendet wird. Es gibt elektrisch (etwa Herd, Waschmaschine, Staubsauger, Haartrockner) und mechanisch (beispielsweise Dosenöffner, Küchenwaage) betriebene sowie einfache Haushaltsgeräte (etwa Messbecher, Besen).;;;;
Hechel (Gerät);;;;;
Heizanlage;Eine Heizanlage ist eine Gerätschaft, die ein Gebäude in seiner Gesamtheit oder seine einzelnen Räume erwärmt.;;;;
Helm (Kopfbedeckung);Ein Helm ist eine schützende Kopfbedeckung, die aus formstabilem, in der Regel schlagfestem und stoßfestem Material besteht und die den Kopf ganz oder teilweise umschließt. Neben der Schutzfunktion vor Kopfverletzungen in den Bereichen Militär, Beruf, Sport und Freizeit gibt es auch Helme, die der Repräsentation dienen.;;;;
Hemd (Oberbekleidung);Ein Hemd ist Oberbekleidung mit kurzen oder langen Ärmeln, welches hauptsächlich locker in oder über den Bund einer Hose oder eines Rockes getragen wird. Hemden haben häufig einen Kragen und werden in klassischer Form durch Knöpfe geschlossen. Kleine Taschen, vor allem auf Brusthöhe, kommen vor.;;;;
Henkel;Ein Henkel ist ein Griff, der oben oder seitlich an einem Behälter sitzt, meist die Form eines gebogenen Bandes besitzt und der es ermöglicht, den Behälter mit der Hand zu heben oder zu halten.;;;;
Hobel;Ein Hobel ist ein Gerät zur Holzbearbeitung, mit dem die Oberfläche eines hölzernen Gegenstandes durch das Abheben von Spänen bearbeitet und geglättet werden kann.;;;;
Horn (Musikinstrument);;;;;
Hose;;;;;
Hufeisen;;;;;
Hypokaustum;Ein Hypokaustum ist eine Fußbodenheizung, die für einzelne Räume in römischen Thermen, vornehmen Wohnhäusern, Villen und Palästen verwendet wurde.;;;;
Hypokaustziegel;;;;;
Hypokaustziegelplatte;;;;;
Imbrex;Eine Imbrex ist ein halbröhrenförmiger römischer Dachziegel, der die Stoßfuge zweier nebeneinander liegender Tegulae abdeckt, um die Dachbedeckung abzudichten.;;;;
Inschrift;Eine Inschrift ist ein Dokument, das aus Zeichen besteht, die in oder auf hartem Material wie Stein, Glas, Keramik oder Metall eingetragen wurden und eine auf Dauer bestimmte Mitteilungen ist;;;;
Joch (Geschirrbestandteil);Ein Joch ist Bestandteil eines Zuggeschirrs und besteht aus einem oft geschwungenen hölzernen Balken, der den Zugtieren an Stirn, Nacken oder Widerrist befestigt wird.;;;;
Kalender;Der Kalender ist eine Dokumentengattung, bei der die zeitliche Abfolge innerhalb eines Jahres abgebildet wird.;;;;
Kamin (Architekturelement);;;;;
Kamm (Körperpflege);;;;;
Kandare;Eine Kandare ist ein Gebiss in Form einer ungebrochenen Stange aus Metall mit seitlichen Querschenkeln und Kinnkette, das eine Hebelwirkung auf das Pferdemaul ausübt.;;;;
Kandelaber (mobiler Standleuchter);Ein Kandelaber ist ein mehrarmiger Leuchter mit Standfuß.;;Nur für den mobilen Standleuchter zu verwenden, für die Straßenlaterne benutze Unterbegriffe von [Straßenleuchte] (wk007113).;;
Kanne (Gefäß);"Eine Kanne ist ein Gefäß mit einer Ausgußvorrichtung, meist in Form eines schnabelförmigen, schnauzenförmigen oder röhrenförmigem Ausgusses. Außerdem verfügen Kannen über mindestens einen Henkel, seltener einen Bügel; ein Deckel ist möglich. Vor allem antike Gefäße können eine abgesetzte Halszone besitzen. Prinzipiell werden Kannen zum Ausgießen und Aufbewahren von Flüssigkeiten verwendet.";Die Fachliteratur ist besonders in Bezug auf die typologischen Merkmalen von Kanne und Krug nicht immer kongruent. Der Begriff Kanne soll hier als Gefäß mit Ausguss im Gegensatz zu dem Begriff Krug ohne Ausguss verstanden werden. Formale und funktionale Überlappungen beider Gefäße sind bekannt, sollen aber in der Definition nicht berücksichtigt werden.;;;
Kanonenkugel;;;;;
Kapitell;Ein Kapitell ist ein Architekturelement, das als oberer Abschluss einer Säule oder einem Pilaster aufgesetzt ist.;;;;
Kasserolle;Die Kasserolle ist ein flacher, runder Kochtopf mit Stiel oder zwei Henkeln. Sie wird vorwiegend zum Braten und zum Schmoren verwendet.;;;;
Kasten (Behälter);Ein Kasten ist ein rechteckiger Behälter mit oder ohne Deckel, der zur Aufbewahrung oder zum Transport von Gegenständen oder Materialien dient;;;;
Keil (Gerät);;;;;
Keilmesser;;;;;
Kelch (Gefäß);Ein Kelch ist ein liturgisches Gefäß, das als Trinkgefäß für den Messwein in der christlichen Messe dient. Er besteht aus Fuß, Schaft mit Knauf sowie Kuppa und ist meist aus Metall gefertigt.;;Benutzt für das liturgische Trinkgefäß. Für profane Gefäße in Kelchform oder ähnlich benutze Stielglas für solche aus Glas, Fußbecher wk020814 für solche aus anderen Materialien und ohne Stiel oder Pokal (Trinkgefäß) wk019116 für besonders große oder repräsentative Exemplare.;;
Kerbrest;;;;;
Kerbspitze (Steinwerkzeug);;;;;
Kern (Steinartefakt);;;;;
Kerngerät;Ein Kerngerät ist ein Steinwerkzeug, welches subtraktiv aus einer Rohknolle herausgearbeitet wurde und keine Grundform zur Basis hat.;;;;
Kernscheibe;;;;;
Kerzenhalter;Ein Kerzenhalter ist eine Leuchte, die Kerzen als Leuchtmittel fasst.;;;;
Kessel (Topf);Ein Kessel ist ein großer Topf aus Metall mit offenem, bauchigem Gefäßkörper und rundem oder abgerundetem Boden. Er besitzt meist einen Bügel oder mehrere Ösen zur Aufhängung.;;;;
Kesselhaken;Ein Kesselhaken ist eine Gerätschaft, die dem höhenverstellbaren Aufhängen des Kessels über einer Herd- oder Feuerstelle dient. Sie besitzt Haken und kann darüberhinaus aus Ringen, Stangen- oder Kettengliedern, und/oder einer Platte mit Zähnen bestehen.;;;;
Kette (Objektgattung);Eine Kette ist eine Objektgattung, die aus in Reihe verbundenen Gliedern, meist aus Metall, besteht.;;;;
Kettenpanzer;Der Kettenpanzer ist eine Schutzausrüstung, bei der die einzelnen Teile aus kleinen, ineinander verflochtenen Metallringen bestehen, die auf einem Lederstück befestigt waren.;;;;
Keule (Schlagwaffe);Eine Keule ist eine Schlagwaffe, oft aus Holz, Knochen oder Metall, die am unteren Ende verdickt ist oder einen Schlagkopf aus Stein oder anderen schweren Materialien besitzt.;;;;
Keulenkopf;;;;;
Kielkratzer;;;;;
Kielstichel;;;;;
Kienspanhalter;;;;;
Klammer (Technik);;;;;
Klapper (Musikinstrument);Eine Klapper ist ein Idiofon, das aus zwei gegeneinander schlagenden Teilen besteht.;;;;
Kleid;Ein Kleid ist eine einteilige Oberbekleidung für Frauen und Mädchen, mit einem Oberteil und einem Rockteil.;;;;
Kleidungsstück;Ein Kleidungsstück ist Ausstattung, die den Körper des Menschen bedeckt. Seine Funktion ist der Schutz vor Witterung, vor Verletzung und das Verhüllen, sie dient aber auch als Kommunikationsmittel, zum Schmuck und als Ausdruck von Mode.;;Für konfektionierte Kleidung aus Leder, Pelz und Ähnlichem, zu denen auch Kopfbedeckungen und Fußbekleidung zählen. Für rein schmückende Accessoires verwende Schmuckstück (wk005710).;;
Klinge (Geräteteil);;;;;
Klinge (Steinartefakt);;;;;
Klingengerät;;;;;
Klingenkern;;;;;
Klingenkratzer;;;;;
Knauf;Ein Knauf ist ein knopfartiger, gerundeter Griff.;;;;
Kniefibel;;;;;
Knopf (Verschluss);;;;;
Kombinationsgerät (Steinwerkzeug);;;;;
Kommode;;;;;
Korb (Behälter);Ein Korb ist ein geflochtener Behälter, meist aus biegsamem Holz oder anderen flexiblen Materialien, der zum Transport und Lagern von Lasten oder Materialien verwendet wird.;;;;
Körperschmuck;;;;;
Kostenki-Ende;;;;;
Kratzer (Steinwerkzeug);;;;;
Kreuz (visuelles Werk);Ein Kreuz ist ein visuelles Werk in Form eines Kreuzes. Es handelt sich dabei um größere, im Raum errichtete Bildwerke oder um bewegliche Gegenstände der christlichen Kultur.;;;;
Krug (Gefäß);Ein Krug ist ein Gefäß mit bauchiger oder zylindrischer Form. Er besitzt einen Henkel, aber keinen Ausguss. Hauptsächlich wird ein Krug zum Aufbewahren und Transport von Flüssigkeiten genutzt.;;;;
Küchenherd;Ein Küchenherd ist eine Gerätschaft, mit der man Speisen kochen, braten und backen kann und die die Kochstelle innerhalb eines Hauses darstellt.;;;;
Kugel (Objekttyp);;;;;
Kugelboden;Ein Kugelboden ist ein Gefäßboden, der nach außen gewölbt ist und keinen Absatz zur Gefäßwandung sowie keine Standfläche besitzt.;Kugelböden sind vor allem von hochmittelalterlichen Kugeltöpfen bekannt, kommen aber auch in anderen Zeitepochen wie beispielsweise in der jungneolithischen Michelsberger Kultur vor.;;;
Kultgerät;;;;;
Kummet;Ein Kummet ist ein Zuggeschirr, dessen Hauptbestandteil ein gepolsterter Bügel ist, der den Zugtieren um den Hals gelegt wird.;;;;
Kumpf (Gefäß);Ein Kumpf ist ein bauchiges Gefäß mit rundem Boden, in der Regel ohne Handhabe. Häufig weisen Kumpfe eingeritzte oder erhabene Verzierungen auf.;;;;
Kurzer Kratzer;;;;;
Lacan-Stichel;;;;;
Lamelle (Steinartefakt);;;;;
Lamellenkern;;;;;
Lamellenpanzer;Ein Lamellenpanzer ist eine Panzerung, die aus überlappend miteinander vernähten, meist rechteckigen Plättchen besteht. Diese Lamellen können aus Metall, gehärtetem Leder, Knochen oder anderen Materialien sein.;;;;
Landkarte;Eine Landkarte ist analoges oder digitales kartographisches Material, das als zweidimensionales Medium geographische Daten maßstäblich repräsentiert. Georäumliches Wissen wird auf Basis kartographischer Abbildungsbedingungen eingeebnet, verkleinert, vereinfacht und mit Beschreibungen und Zeichen versehen dargestellt. Sachverhalte und Prozesse können über eine Karte in einen inhaltlichen Zusammenhang gestellt und übersichtlich vermittelt werden.;;;;
Landwirtschaftliches Gerät;Ein landwirtschaftliches Gerät ist ein Gerät, das zur Bodenkultivierung, zur Produktion von Kulturpflanzen oder für die Aufzucht von Vieh verwendet wird.;;;;
Lanze (Waffe);;;;;
Lanzenschuh;;;;;
Lanzenspitze;;;;;
Lateralretusche;;;;;
Laterne (Objekt);;;"Benutzt für Beleuchtungskörper bestehend aus einer Lichtquelle mit Schutzgehäuse; für den Beleuchtungskörper der Straßenbeleuchtung siehe Straßenlampe.";;
Läuferstein (Mühle);;;;;
Leichenbrand;;Meist handelt es sich um die verbrannten und kalzinierten Knochen der Verstorbenen.;;;
Leitungsrohr;;;;;
Leuchte;;;;;
Levalloiskern;;;;;
Levalloisspitze;;;;;
Linsenboden;Ein Linsenboden ist ein Gefäßboden, der am Übergang zur Wandung abgerundet oder geknickt erscheint. Im Unterschied zum Kugelboden ist er weniger gerundet und nicht durch Druck geformt sondern durch Beschneiden.;Der Linsenboden ist ein Charakteristikum karolingischer Gefäßkeramik. Bei der Herstellung wird der verdickte Boden, von der unteren Gefäßwandung ausgehend, mittels Schnitten in eine rundliche Form gebracht. Am Übergang von Wandung zu Boden können deshalb Schnittgrate beobachtet werden. Das Gefäß kann noch stehen, ist aber durch die Rundung im Stand instabil.;;;
Liturgisches Gerät;;;;;
Liturgisches Gewand;Ein Liturgisches Gewand ist eine Zeremonialkleidung, die während eines Gottesdienstes oder gottesdienstlicher Feiern getragen wird und das verhüllen des Irdischen versinnbildlicht. Liturgische Gewänder werden ausschließlich vom Leiter der Feier und den liturgischen Diensten getragen.;;;;
Löffel (Küchengerät);;;;;
Lot (Bauwesen);Ein Lot ist ein Messgerät zur Bestimmung der Vertikalen, bestehend aus einem spitz zulaufenden Stück Metall, das am Ende einer Schnur hängt.;;;;
Maasei;Ein Maasei ist ein natürliches Objekt, das als kleine stark abgerollte Feuersteinknolle eine kugelige bis ellipsoide Form besitzt. Die charakteristische Rinde der Knolle ist schwarz, dunkelgrau bis hellgrau beziehungsweise grau-blau.;;;;
Mahlstein;;;;;
Malerei (Verfahren);;;;;
Mappe;Eine Mappe ist ein Dokumentenbehälter zur Aufbewahrung von Dokumenten oder ähnlich dünnen Gegenständen.;;;;
Marke (Informationsträger);;;;;
Markenzeichen;Ein Markenzeichen ist ein Logo, das als visuelles Erkennungszeichen eines bestimmten Produkts oder einer Handelsmarke dient und als solches rechtlich geschützt ist.;;;;
Maske (Kostümierung);"Eine Maske ist ein Kleidungsstück, das das Gesicht ganz oder teilweise verdeckt. Sie kann auch über das Gesicht hinaus den Kopf bedecken. In der Regel gibt es Öffnungen für die Augen, Mund oder Nase. Sie wird hauptsächlich zur Veränderung des Aussehens, zur Verschleierung der Identität getragen; vor allem im Zusammenhang mit Bräuchen, Zeremonien oder aus künstlerischen Aspekten.";;Verwendet für Masken, die das Gesicht bedecken und im Zusammenhang mit einer Verkleidung stehen. Für Masken, die dem Schutz dienen, benutze Atemmaske (Schutzausrüstung) (wk017587). Für Masken, die nicht zur Kleidung gehören, sondern etwa als Schmuck an Objekten dienen, benutze Maske (Bildwerk) (wk020930).;;
Materialprobe;Eine Materialprobe ist eine Probe, die unterschiedliche Materialentnahmen zum Zwecke der weiteren wissenschaftlichen Untersuchung zusammenfasst.;;;;
Matrize (Stempel);;;;;
Mauer;Eine Mauer ist ein begrenzendes Bauteil oder Bauwerk, das als massive Konstruktion aus anorganischen Materialien wie Naturstein, Backstein, Beton usw. besteht und dessen Dicke deutlich geringer ist als seine horizontale und vertikale Ausdehnung.;;;;
Mauerziegel;Ein Mauerziegel ist Baukeramik, die aus Ton oder Lehm geformt ist, durch Brennen gehärtet und wetterfest gemacht und als Mauerstein verwendet wird.;;;;
Medaille;;;;;
Medaillon (Schmuckstück);"Ein Medaillon ist ein Anhänger in Form eines kleinen aufklappbaren Behältnisses, das in der Regel ein Erinnerungsstück enthält. Die vordere Schauseite ist oft aufwendig verziert; die Rückseite graviert.";;;;
Medizinisches Gerät;Ein medizinisches Gerät ist ein Gerät, das für medizinische Anwendungen genutzt wird. Dazu gehören Instrumente, Apparate und Vorrichtungen, die der Diagnostik, Therapie, gesundheitlichen Überwachung und Verhütung von Krankheiten oder Verletzungen am Menschen dienen.;Medizinische Geräte umfassen eine Vielzahl von Geräten, Instrumenten, Apparaten oder Maschinen, die in der medizinischen Versorgung eingesetzt werden. Medizinische Geräte können sowohl für diagnostische als auch therapeutische Zwecke verwendet werden und reichen von einfachen Instrumenten bis hin zu komplexen technologischen Systemen.;;;
Mehrschlagstichel;;;;;
Meilenstein (Entfernungsanzeiger);;;;;
Meißel;;Ein Meißel ist meist aus Metall und hat eine keilartige Schneide sowie eine Schlagfläche. Er wird in Verbindung mit einem Hammer oder Schlägel verwendet.;;;
Menschlicher Überrest;Menschlicher Überrest ist ein organischer Überrest, der vom Menschen stammt.;;;;
Messer (Schneidewerkzeug);Ein Messer ist ein Schneidewerkzeug, das über eine Klinge mit Schneide und einen Griff verfügt.;;Messer können in ihrer Funktion sowohl als Schneidwerkzeug für gezielte Schneidvorgänge, als Küchengerät zur Zubereitung von Lebensmitteln als auch als Waffe verwendet werden. Der Begriff „Messer“ (wk005412) kann als allgemeindeutiger Begriff genutzt werden. Entsprechende Unterbegriffe werden gezielt polyhierarchisch unter dem jeweils spezifischeren Oberbegriff abgelegt.;;
Messgerät;Ein Messgerät ist ein Gerät zur Bestimmung von geometrischen oder physikalischen Größen.;;;;
Mikrolith (Steinwerkzeug);;;;;
Mikrospitze (Mikrolith);;;;;
Miniaturgemälde;;;;;
Möbel;Ein Möbel ist ein großer Einrichtungsgegenstand, der der funktionalen oder dekorativen Ausstattung von Innenräumen und Außenräumen dient. Dazu zählen in erster Linie Gegenstände zum Sitzen und Liegen, Behältnismöbel sowie Tische und andere Ablagemöbel.;;;;
Möbelbeschlag;;;;;
Möbelbestandteil;Ein Möbelbestandteil ist ein zu einem Möbelstück gehörendes Element.;;Benutzt für Bestandteile von Möbeln.;;
Model (Form);;;;;
Mönch (Architektur);;;;;
Monstranz;Eine Monstranz ist ein liturgisches Gefäß der katholischen Kirche, in dem eine geweihte Hostie zur Schau gestellt wird. Es ist üblicherweise reich verziert und aus kostbaren Materialien. Der oft verglaste Aufsatz mit Halterung für die Hostie steht auf Fuß und Schaft.;;;;
Mörser (Werkzeug);Ein Mörser ist ein Gerät zum Zerkleinern von trockenem Material, das aus einem schalenartigen oder napfartigen Gefäß und einem Stößel besteht.;Die Schale (ohne den Stößel) wird umgangssprachlich auch als Mörser bezeichnet.;;;
Mosaik (visuelles Werk);;;;;
Mosaikstein;Ein Mosaikstein ist Teil eines Mosaiks, das aus viereckigen, mehreckigen oder runden Plättchen oder Stiften von farbigem Marmor, Glas, Stein, Fliesen oder ähnlichen harten Materialien besteht. Die Mosaiksteine werden in unterschiedlichen Größen, in der Regel von 0,1 cm bis 2,0 cm, verwendet.;;;;
Mundblech;;;;;
Münze (Tauschmittel);;;;;
Murmel;;;;;
Musikinstrument;Ein Musikinstrument ist ein Tonerzeuger, das dazu bestimmt ist, auf ihm Musik zu spielen.;;;;
Nadel (Objekttyp);Eine Nadel ist ein Objekt, das aus einem länglichen, schmalen Schaft und einem spitz zulaufenden Ende besteht. Das andere Ende ist unterschiedlich geformt, je nach Verwendungszweck.;;Eine Nadel kann zur Verarbeitung von Textilien, zum Verschluss von Kleidungsstücken, zur Verarbeitung von Metallen, zur Körperverzierung, zum Feststecken von Kopfschmuck und Haaren usw. verwendet werden.;;
Nagel (Befestigungselement);Ein Nagel ist ein Befestigungselement aus Metall oder Holz, das aus einem schlanken Schaft mit einem zugespitzten Ende und einem flachen Kopf besteht. Er wird in der Regel mit einem Hammer eingeschlagen.;;;;
Nähnadel;Eine Nähnadel ist ein schlankes, spitzes Gerät zum Nähen und zum Durchstechen von textilem Material. Am oberen Ende besitzt die Nähnadel eine kreisförmige oder ovale Öffnung, durch die ein Faden geführt werden kann. Heutzutage sind Nähnadel üblicherweise aus Metall gefertigt.;;;;
Napf;Ein Napf ist ein kleines, offenes und breites Gefäß mit geringer Wandungshöhe. Er ist schmaler und höher als eine Schale und niedriger als ein Becher.;;;;
Napoleonshut (Mahlstein);;;;;
Natur;;;;;
Natürlicher Trümmer;;;;;
Netzschwimmer;;;;;
Netzsenker;Ein Netzsenker ist ein Fischereigerät in Form eines kleinen Gewichts, das das ausgebrachte Netz im Wasser beschwert, das heißt strafft und senkrecht hält. Netzsenker gibt es aus Blei, Ton und Stein, durchlocht oder mit Kerben versehen.;;;;
Niet;Ein Niet ist ein Befestigungselement, das aus einen Metallbolzen besteht, der auf jeder Seite im einem Kopf endet. Ein Kopf ist vorgeformt und der zweite wird durch Druck erst geformt, wenn der Metallbolzen durch die zu verbindenden Teilen gesteckt wurde.;;;;
Nische (Architektur);Eine Nische ist ein Bauteil, der als einseitig offene halbrunde, rechteckige oder polygonale Aussparung in einer Mauer, im Einzelfall auch in einem massiven Holz liegt.;Wichtig an der Nische ist, dass sie zur Außenseite nicht vortritt. Andernfalls handelt es sich um einen Erker oder eine Auslucht. Im modernen Innenausbau kann eine Nische auch aus Leichtbauteilen hergestellt werden.;;;
Noailles-Stichel;;;;;
Nonne (Architektur);;;;;
Nuss (Botanik);Eine Nuss ist eine Frucht, deren Außenhülle vollständig verholzt ist. Im Inneren einer Nuss befindet sich ein Samen, der zumeist essbar ist.;;;;
Obstkern;Ein Obstkern ist ein Kern, der den Samen im Innern der Früchte von Kernobst bildet.;Kernobst gehört zur Familie der Rosengewächse. Dies sind unter anderem: Apfel, Birne, Quitte, Mispel, Eberesche.;Für Kerne von Steinobst wie zum Beispiel Pflaumen oder Kirschen Obststein verwenden.;;
Ofen (Vorrichtung);Ein Ofen ist eine Vorrichtung, die sowohl transportabel als auch fest eingebaut sein kann und zur Erzeugung von Wärme dient.;;;;
